title,attributes
Date Night,"new york city, new york (1), premiere (1), blank (44), german speaking region (1), french speaking region (1), shanghai international film festival (1), dvd premiere (4)"
The Losers,"hollywood, california (1), premiere (1), blank (30), video premiere (9), dvd premiere (2), blu-ray premiere (1), tv release (1), internet (2)"
Iron Man 2,"los angeles, california (1), premiere (3), blank (74), french speaking region (1), belgrade (1), italian speaking region (1), german speaking region (1), tokyo (1), dvd and blu-ray premiere (1), imax re-release (1), disney+ premiere (1), re-release (1)"
A Nightmare on Elm Street,"hollywood, california (1), premiere (3), blank (54), buenos aires (1), french speaking region (1), german speaking region (1), ekek sika säkissä film festival (1), madrid (1), blu-ray release (1), islas baleares (1), event (1), internet (1)"
The Switch,"hollywood, california (1), premiere (1), blank (42), french speaking region (1), limited (1), german speaking region (1), blu-ray premiere (1), dvd premiere (2)"
Robin Hood,"blank (81), french speaking region (1), italian speaking region (1), cannes film festival (1), german speaking region (1), internet (1), dvd premiere (1)"
Prince of Persia: The Sands of Time,"limited (1), london (1), premiere (3), moscow (1), blank (60), french speaking region (1), german speaking region (1), italian speaking region (1), buenos aires (1), dvd premiere (1), blu ray release (1)"
Shrek Forever After,"tribeca film festival (1), premiere (3), blank (84), universal city, california (1), french speaking region (1), buenos aires (1), german speaking region (1), italian speaking region (1), tokyo international film festival (1), internet (1)"
Killers,"hollywood, california (1), premiere (1), blank (47), closing film (1), shanghai international film festival (1), french speaking region (1), german speaking region (1), blu-ray premiere (1), blu-ray release (1), tv premiere (1)"
The A-Team,"hollywood, california (1), premiere (2), blank (66), french speaking region (1), buenos aires (1), german speaking region (1), limited (1), internet (1)"
The Karate Kid,"westwood, california (1), premiere (2), blank (72), buenos aires (1), astana international action film festival (1), german speaking region (1), fredrikstad (1), limited (1), french speaking region (1), italian speaking region (1), blu-ray and dvd (1), internet (2), tokyo international film festival (1), re-release (1)"
Winter's Bone,"sundance film festival (1), berlin international film festival (1), south by southwest film festival (1), afi dallas international film festival (1), kansas city film festival (1), sarasota film festival (1), boston independent film festival (1), palm beach international film festival (1), san francisco international film festival (1), rochester film festival (1), seattle international film festival (1), nantucket film festival (1), little rock film festival (1), limited (3), toronto (1), edinburgh international film festival (1), provincetown film festival (1), blank (32), melbourne international film festival (1), deauville american film festival (1), helsinki international film festival (1), reykjavik international film festival (1), gent international film festival (1), zagreb film festival (1), dvd premiere (2), tokyo international film festival (1), leiden international film festival (1), williamsburg independent film festival (1), stockholm international film festival (1), torino film festival (1), thessaloniki international film festival (1), dubai international film festival (1), hong kong international film festival (1), shanghai international film festival (1), re-release (1), sundance london film festival (1), milwaukee film festival (1), femfilmfest (1), american independent film festival (1)"
Knight and Day,"seville (1), premiere (6), blank (70), mexico city (1), munich (1), german speaking region (1), london (1), bordeaux (1), french speaking region (1), tokyo (1), limited (1)"
Toy Story 3,"taormina film festival (1), buenos aires (1), premiere (1), blank (75), nantucket film festival (1), edinburgh international film festival (1), french speaking region (1), german speaking region (1), dvd premiere (1), tv release (1)"
I Spit on Your Grave,"texas frightmare weekend (1), blank (13), fantasia international film festival (1), toronto after dark film festival (1), film4 frightfest (1), calgary international film festival (1), limited (2), oakville (1), toronto (1), montréal (1), vaughan (1), blu-ray release (4), dvd premiere (6), night visions film festival (1), tokyo (1), dvd and blu-ray premiere (2), strasbourg european fantastic film festival (1), madrid - artistic metropol (1), subtitled version (2), event (1), internet (1), lleida - funatic (1), technical event release (1)"
Monsters,"south by southwest film festival (1), taormina film festival (1), edinburgh international film festival (1), los angeles film festival (1), astana international action film festival (1), locarno film festival (1), berlin fantasy filmfest (1), espoo film festival (1), l'étrange festival (1), oldenburg international film festival (1), strasbourg european fantastic film festival (1), athens film festival (1), rio de janeiro international film festival (1), video on demand (1), blank (26), sitges international fantastic film festival (1), warsaw film festival (1), fantastique semaine du cinéma (1), limited (3), indonesia international fantastic film festival (1), stockholm international film festival (1), french speaking region (1), imagine film festival (1), brussels international fantastic film festival (1), dvd and blu-ray premiere (1), dvd premiere (2), internet (1)"
The Twilight Saga: Eclipse,"buenos aires (1), premiere (1), blank (59), astana international action film festival (1), limited (2), french speaking region (1), vilnius (1), german speaking region (1), dvd premiere (2), re-release (1), internet (1)"
Grown Ups,"blank (77), german speaking region (1), french speaking region (1), dvd premiere (2), internet (1)"
The Last Airbender,"new york city, new york (1), premiere (2), blank (72), tokyo (1), paris cinéma (1), french speaking region (1), german speaking region (1), italian speaking region (1)"
The Other Woman,"toronto international film festival (1), tv premiere (2), deauville american film festival (1), blank (10), video on demand (1), limited (2), dvd premiere (3), dvd and blu-ray premiere (1)"
Battle: Los Angeles,"westwood, california (1), premiere (1), blank (53), dvd premiere (2), blu-ray release (1)"
Red Riding Hood,"los angeles, california (1), premiere (1), blank (40), limited (10), shanghai international film festival (1), blu-ray release (1), internet (2)"
Jane Eyre,"new york city, new york (1), premiere (1), limited (3), blank (37), karlovy vary international film festival (1), dvd premiere (7), hamburg film festival (1), sitges film festival (1), gent international film festival (1), panorama of european cinema (1), belgrade film festival (1), artisokka film festival (1), cabourg film festival (1), paris cinéma (1), tv premiere (1)"
Limitless,"new york city, new york (1), premiere (2), blank (51), dvd premiere (3), buenos aires (1)"
The Lincoln Lawyer,"hollywood, california (1), premiere (1), blank (45), blu ray premiere (1), dvd premiere (2), internet (3)"
Sucker Punch,"buenos aires (1), blank (56), night visions film festival (1), blu-ray release (1), dvd premiere (1), tv premiere (1)"
Source Code,"south by southwest film festival (1), hollywood, california (1), premiere (2), blank (67), beaune film festival (1), mostra de valencia (1), imagine film festival (1), limited (1), buenos aires (1), internet (1), blu-ray release (1), dvd premiere (1)"
Insidious,"toronto international film festival (1), premiere (1), sitges international fantastic film festival (1), blank (45), imagine film festival (1), lyon festival hallucinations collectives (1), neuchâtel international fantastic film festival (1), dvd and blu-ray premiere (1), dvd premiere (2), molins film festival (1)"
Hanna,"curaçao (1), blank (47), mostra de valencia (1), german speaking region (1), sydney international film festival (1), french speaking region (1), italian speaking region (1), karlovy vary international film festival (1), dvd premiere (1), sofia (1), cinemania film festival (2), varna (1), tv premiere (1), internet (1)"
Your Highness,"blank (23), dvd premiere (6), dvd and blu-ray premiere (3), tv release (1), internet (2)"
Scream 4,"hollywood, california (1), premiere (2), the hague (1), blank (55), limited (1), blu-ray premiere (1), dvd premiere (1)"
Water for Elephants,"blank (54), german speaking region (1), french speaking region (1), italian speaking region (1), opening film (1), shanghai international film festival (1), tokyo (1), blu-ray premiere (1), tv release (1)"
Thor,"sydney (1), premiere (2), blank (76), french speaking region (1), german speaking region (1), italian speaking region (1), hollywood, california (1), dvd and blu-ray premiere (1), imax re-release (1), disney+ premiere (1)"
Priest,"blank (52), dvd premiere (2), tv release (1), internet (1)"
Attack the Block,"south by southwest film festival (1), blank (23), karlovy vary international film festival (1), fantasia international film festival (1), toronto (1), limited (2), locarno film festival (1), berlin fantasy filmfest (1), hamburg fantasy filmfest (1), lund fantastisk film festival (1), jameson cinefest international film festival (1), athens film festival (1), rio de janeiro international film festival (1), fantastique semaine du cinéma (1), night visions film festival (1), dvd premiere (3), torino film festival (1), okinawa international movie festival (1), fanter film festival (1), l'étrange festival (1), morbido film fest (1), koszalin debut films festival (1), neuchatel international fantastic film festival (1)"
Bridesmaids,"westwood, california (1), premiere (1), blank (78), limited (1), cabourg film festival (1), paris cinéma (1), okinawa international movie festival (1), internet (2), tv premiere (1)"
Pirates of the Caribbean: On Stranger Tides,"anaheim, california (1), premiere (3), moscow (1), cannes film festival (1), blank (66), tokyo (1), beijing international film festival (1), dvd premiere (1)"
Bad Teacher,"blank (45), new york city, new york (1), premiere (1), internet (4), yubari international fantastic film festival (1), shanghai international film festival (1), tv premiere (1)"
The Tree of Life,"cannes film festival (1), blank (48), french speaking region (1), german speaking region (1), limited (2), greek film archive (1), french film festival (1), karlovy vary international film festival (1), yerevan international film festival (1), durban international film festival (1), donostia-san sebastian international film festival (1), beirut international film festival (1), pusan international film festival (1), morelia international film festival (1), tallinn black nights film festival (1), amsterdam film week (1), re-release (1), belgrade film festival (1), beijing international film festival (1), internet (1), blu-ray release (1), dvd premiere (1)"
Blitz,"blank (31), dvd premiere (8), dvd and blu-ray premiere (1), internet (1), blu-ray release (1), rtp 1 (1), tv premiere (1)"
Kung Fu Panda 2,"los angeles, california (1), premiere (5), blank (69), limited (5), dublin (1), opening night (1), taormina film festival (1), french speaking region (1), german speaking region (1), italian speaking region (1), anifest film festival (1), outfest film festival (1)"
The Hangover Part II,"hollywood, california (1), premiere (1), blank (58), blu ray release (1), dvd premiere (1), internet (2)"
Beginners,"toronto international film festival (1), premiere (1), san francisco international film festival (1), seattle international film festival (1), los angeles, california (1), new york city, new york (1), blank (24), jerusalem film festival (1), galway film fleadh (1), limited (1), french speaking region (1), italian speaking region (1), german speaking region (1), amfest 11 american film festival (1), dvd premiere (5)"
Super 8,"blank (73), limited (1), jerusalem film festival (1), paris cinema festival (1), buenos aires (1), premiere (1), locarno film festival (1), beijing international film festival (1), shanghai international film festival (2), imax version (1)"
Cars 2,"hollywood, california (1), premiere (1), blank (72), paris cinema festival (1), galway film fleadh (1), dvd/blu-ray release (1), blu-ray premiere (1), dvd premiere (1)"
Green Lantern,"blank (72), los angeles film festival (1), buenos aires (1), premiere (1), tv release (1), dvd premiere (1)"
Mr. Popper's Penguins,"blank (54), french speaking region (1), german speaking region (1), italian speaking region (1), dvd premiere (2), dvd and blu-ray premiere (1)"
Transformers: Dark of the Moon,"moscow film festival (1), premiere (7), berlin (1), dubai (1), new york city, new york (1), blank (73), buenos aires (1), bahrain (1), french speaking region (1), forum cinemas cinema (1), limited (1), osaka (1), imax version (1), shanghai international film festival (1), dvd premiere (1)"
The Guard,"sundance film festival (1), berlin international film festival (1), blank (21), limited (1), empire big screen (1), toronto (1), greek film archive (1), helsinki international film festival (1), dinard festival of british cinema (1), rio de janeiro international film festival (1), ljubljana international film festival (1), stockholm international film festival (1), oslo international film festival (1), osaka european film festival (1), les arcs international film festival (1), blu ray release (1), dvd premiere (3), eu film days (1), tv release (1)"
Horrible Bosses,"los angeles, california (1), premiere (2), blank (51), buenos aires (1), old town taito international comedy film festival (1), blu-ray premiere (1), tv premiere (1), dvd premiere (1), internet (1)"
Harry Potter and the Deathly Hallows: Part 2,"london (1), premiere (4), new york city, new york (1), buenos aires (1), blank (71), tokyo (1), belgrade (1), beijing international film festival (2), re-release (6), imax 3d (2), dvd premiere (1), göteborg film festival prisma (1), limited (1)"
Captain America: The First Avenger,"hollywood, california (1), premiere (1), blank (75), italian speaking region (1), french speaking region (1), german speaking region (1), dvd and blu-ray premiere (1), beijing international film festival (1), imax version (1), disney+ premiere (1)"
Cowboys & Aliens,"blank (70), locarno film festival (1), london (1), premiere (1), french speaking region (1), german speaking region (1), italian speaking region (1), shanghai international film festival (1)"
"Crazy, Stupid, Love.","new york city, new york (1), premiere (2), blank (48), deauville american film festival (1), melbourne (1), blu-ray premiere (2), tv premiere (1), dvd premiere (1), internet (2)"
The Smurfs,"new york city, new york (1), premiere (1), blank (62), internet (2), dvd premiere (2)"
Rise of the Planet of the Apes,"los angeles, california (1), premiere (2), blank (58), buenos aires (1), dvd premiere (2), tv release (1)"
The Change-Up,"los angeles, california (1), premiere (1), blank (43), empire big screen (1), deauville american film festival (1), dvd premiere (3), blu ray premiere (1), dvd and blu-ray premiere (1), internet (2)"
The Help,"beverly hills, california (1), premiere (2), blank (52), empire big screen (1), deauville american film festival (1), jameson cinefest international film festival (1), zurich film festival (1), london (1), hamburg film festival (1), gent international film festival (1), rio de janeiro international film festival (1), panorama of european cinema (1), blu ray premiere (1), dvd premiere (2), re-release (1), yubari international fantastic film festival (1), dvd and blu-ray premiere (1), beijing international film festival (1), shanghai international film festival (1), tokyo gohan film festival (1), internet (1)"
30 Minutes or Less,"curacao (1), blank (25), blu-ray premiere (1), dvd premiere (6), tv release (2), blu-ray release (1), internet (1)"
Final Destination 5,"fantasia film festival (1), premiere (3), hollywood, california (1), blank (49), frightfest (1), buenos aires (1), singapore international film festival (1), dvd premiere (4), blu-ray and dvd (1), video premiere (1), tv premiere (2), tv release (1), internet (2)"
Conan the Barbarian,"los angeles, california (1), premiere (2), london (1), blank (44), french speaking region (1), german speaking region (1), dvd premiere (2), blu-ray premiere (1)"
Fright Night,"empire big screen (1), premiere (2), hollywood, california (1), blank (43), frightfest (1), deauville american film festival (1), strasbourg european fantastic film festival (1), lund fantastisk film festival (1), fright nights film festival (1), blu-ray & dvd premiere (1), internet (1)"
The Three Musketeers,"blank (51), limited (1), pusan international film festival (1), tokyo international film festival (1), vhs premiere (1), dvd premiere (1), internet (1)"
