title,imdb_id
12 Strong,tt1413492
Den of Thieves,tt1259528
Terrifier,tt4281724
Black Panther,tt1825683
Game Night,tt2704998
Red Sparrow,tt2873282
"Love, Simon",tt5164432
Annihilation,tt2798920
Tomb Raider,tt1365519
Blockers,tt2531344
Pacific Rim: Uprising,tt2557478
Isle of Dogs,tt5104604
Ready Player One,tt1677720
A Quiet Place,tt6644200
Avengers: Infinity War,tt4154756
Deadpool 2,tt5463162
Solo: A Star Wars Story,tt3778644
Burning,tt7282468
First Reformed,tt6053438
Tag,tt2854926
Upgrade,tt6499752
American Animals,tt6212478
Jurassic World: Fallen Kingdom,tt4881806
Hereditary,tt7784604
Hotel Artemis,tt5834262
Ocean's Eight,tt5164214
Incredibles 2,tt3606756
Sicario: Day of the Soldado,tt5052474
Hotel Transylvania 3: Summer Vacation,tt5220122
Sanju,tt6452574
Ant-Man and the Wasp,tt5095030
Sorry to Bother You,tt5688932
Skyscraper,tt5758778
Mamma Mia! Here We Go Again,tt6911608
The Equalizer 2,tt3766354
Mission: Impossible - Fallout,tt4912910
Christopher Robin,tt4575576
The Spy Who Dumped Me,tt6663582
Under the Silver Lake,tt5691670
BlacKkKlansman,tt7349662
The Meg,tt4779682
Summer of 84,tt5774450
Crazy Rich Asians,tt3104988
Mile 22,tt4560436
Searching,tt7668870
Operation Finale,tt5208252
The Upside,tt1987680
Glass,tt6823368
Alita: Battle Angel,tt0437086
The Lego Movie 2: The Second Part,tt3513498
Happy Death Day 2U,tt8155288
Isn't It Romantic,tt2452244
Fighting with My Family,tt6513120
Captain Marvel,tt4154664
Five Feet Apart,tt6472976
Hotel Mumbai,tt5461944
Us,tt6857112
Dumbo,tt3861390
Shazam!,tt0448115
Pet Sematary,tt0837563
Hellboy,tt2274648
After,tt4126476
Avengers: Endgame,tt4154796
Brightburn,tt7752126
The Hustle,tt1298644
John Wick: Chapter 3 - Parabellum,tt6146586
The Dead Don't Die,tt8695030
Rocketman,tt2066051
Aladdin,tt6139732
Booksmart,tt1489887
The Secret Life of Pets 2,tt5113040
Godzilla: King of the Monsters,tt3741700
Ma,tt7958736
Parasite,tt6751668
Dark Phoenix,tt6565702
Toy Story 4,tt1979376
Annabelle Comes Home,tt8350360
Yesterday,tt8079248
Spider-Man: Far From Home,tt6320628
Midsommar,tt8772262
Crawl,tt8364368
The Farewell,tt8637428
The Lion King,tt6105098
Fast & Furious Presents: Hobbs & Shaw,tt6806448
Scary Stories to Tell in the Dark,tt3387520
Good Boys,tt6977338
Angel Has Fallen,tt6189022
Ready or Not,tt7798634
Uncut Gems,tt5727208
Army of the Dead,tt0993840
F9,tt5433138
A Quiet Place Part II,tt8332922
The Conjuring: The Devil Made Me Do It,tt7069210
Cruella,tt3228774
In the Heights,tt1321510
Hitman's Wife's Bodyguard,tt8385148
Luca,tt12801262
The Forever Purge,tt10327252
Escape Room: Tournament of Champions,tt9844522
Black Widow,tt3480822
Space Jam: A New Legacy,tt3554046
Pig,tt11003218
Old,tt10954652
Snake Eyes: G.I. Joe Origins,tt8404256
Jungle Cruise,tt0870154
The Suicide Squad,tt6334354
Stillwater,tt10696896
The Green Knight,tt9243804
Free Guy,tt6264654
Don't Breathe 2,tt6246322
CODA,tt10366460
Drive My Car,tt14039582
Reminiscence,tt3272066
Candyman,tt9347730
Malignant,tt3811906
Shang-Chi and the Legend of the Ten Rings,tt9376612
The Tomorrow War,tt9777666
Copshop,tt5748448
Dune,tt1160419
No Time to Die,tt2382320
Venom: Let There Be Carnage,tt7097896
Old Henry,tt12731980
Encanto,tt2953050
The Last Duel,tt4244994
Halloween Kills,tt10665338
Last Night in Soho,tt9639470
Antlers,tt7740510
Army of Thieves,tt13024674
Eternals,tt9032400
