title,blank,internet,total
The Handmaiden,35,4,109
Now You See Me 2,67,0,75
Don't Breathe,53,1,62
The Conjuring 2,60,0,69
Central Intelligence,52,1,60
Finding Dory,87,0,92
The Secret Life of Pets,66,2,72
Independence Day: Resurgence,63,0,66
Swiss Army Man,14,2,61
The Shallows,60,1,66
Nerve,75,1,84
The Legend of Tarzan,65,0,71
The Purge: Election Year,41,2,49
Sully,63,1,74
Bridget Jones's Baby,53,1,63
The Magnificent Seven,60,0,67
Snowden,50,1,66
Miss Peregrine's Home for Peculiar Children,61,0,63
Deepwater Horizon,74,2,81
The Girl on the Train,56,0,60
A Monster Calls,58,0,75
Hacksaw Ridge,57,1,68
Inferno,61,2,69
Moana,73,0,88
The Accountant,70,1,81
Trolls,59,1,65
Jack Reacher: Never Go Back,72,1,86
Moonlight,48,2,86
Doctor Strange,72,0,89
Nocturnal Animals,46,3,76
Arrival,65,1,91
Raw,14,3,79
Fantastic Beasts and Where to Find Them,72,0,78
Paterson,37,1,84
The Edge of Seventeen,19,7,40
Allied,66,0,74
Sing,69,1,80
Lion,51,0,79
The Founder,42,2,55
Office Christmas Party,54,0,61
La La Land,75,2,121
The Promise,33,0,43
Hidden Figures,44,1,52
Patriots Day,59,1,69
Rogue One: A Star Wars Story,67,0,81
Collateral Beauty,53,1,62
Fences,16,5,41
The Great Wall,57,2,65
Assassin's Creed,64,1,74
The Autopsy of Jane Doe,26,2,69
Why Him?,52,2,60
Silence,52,1,67
The Disaster Artist,35,0,68
The Lost City of Z,53,0,74
Beauty and the Beast,66,0,72
Power Rangers,74,1,75
The Boss Baby,61,1,63
Ghost in the Shell,67,0,75
The Big Sick,39,1,64
Going in Style,46,0,52
The Fate of the Furious,68,0,73
Guardians of the Galaxy Vol. 2,65,0,72
A Ghost Story,16,1,56
The Circle,47,1,51
Alien: Covenant,61,1,70
King Arthur: Legend of the Sword,60,2,68
Pirates of the Caribbean: Dead Men Tell No Tales,63,0,68
Baywatch,54,2,58
Wonder Woman,65,0,76
The Mummy,64,1,73
It Comes at Night,28,2,38
Cars 3,72,0,77
Despicable Me 3,59,1,63
Transformers: The Last Knight,63,1,72
Baby Driver,63,2,78
Spider-Man: Homecoming,67,1,76
War for the Planet of the Apes,81,1,88
American Assassin,89,1,93
Dunkirk,62,2,76
Valerian and the City of a Thousand Planets,56,2,66
Atomic Blonde,59,3,67
Call Me by Your Name,44,0,116
Annabelle: Creation,70,0,76
The Dark Tower,67,0,70
Wind River,45,2,74
Good Time,35,2,75
The Hitman's Bodyguard,55,3,62
Logan Lucky,51,0,64
American Made,56,0,62
What Happened to Monday,25,10,48
Lady Bird,50,0,80
It,71,2,99
Kingsman: The Golden Circle,58,0,66
Only the Brave,40,2,48
The Foreigner,55,3,63
Thor: Ragnarok,70,0,78
Blade Runner 2049,60,1,81
The Florida Project,43,2,99
The Ritual,9,24,35
Geostorm,59,0,62
Happy Death Day,51,2,64
The Death of Stalin,35,0,59
Jigsaw,56,0,62
Coco,72,0,95
Murder on the Orient Express,62,1,70
Daddy's Home 2,50,5,58
Paddington 2,63,1,76
Wonder,54,0,62
Justice League,75,2,88
Darkest Hour,54,0,75
The Shape of Water,62,0,118
"Three Billboards Outside Ebbing, Missouri",55,0,106
"I, Tonya",50,0,88
Molly's Game,48,1,66
