title,blank,internet,total,internet_total_ratio,internet_dominance
Lone Survivor,51,1,63,0.02,no
Non-Stop,51,0,57,0.00,no
Neighbors 2: Sorority Rising,51,0,56,0.00,no
Lion,51,0,79,0.00,no
Logan Lucky,51,0,64,0.00,no
Happy Death Day,51,2,64,0.03,no
Isle of Dogs,51,0,69,0.00,no
Hereditary,51,0,60,0.00,no
Space Jam: A New Legacy,51,4,57,0.07,no
Candyman,51,0,55,0.00,no
The Lost City,51,3,58,0.05,no
Morbius,51,2,55,0.04,no
DC League of Super-Pets,51,1,56,0.02,no
Babylon,51,2,58,0.03,no
A Minecraft Movie,51,2,55,0.04,no
The Happening,52,0,61,0.00,no
Hellboy II: The Golden Army,52,0,59,0.00,no
Priest,52,1,56,0.02,no
The Help,52,1,74,0.01,no
47 Ronin,52,2,59,0.03,no
Transcendence,52,0,55,0.00,no
Begin Again,52,0,73,0.00,no
Central Intelligence,52,1,60,0.02,no
Why Him?,52,2,60,0.03,no
Silence,52,1,67,0.01,no
Parasite,52,1,144,0.01,no
Ant-Man and the Wasp: Quantumania,52,3,55,0.05,no
Fast X,52,1,61,0.02,no
Trolls Band Together,52,1,57,0.02,no
The Marvels,52,2,56,0.04,no
Alien: Romulus,52,2,61,0.03,no
Mission: Impossible - The Final Reckoning,52,1,67,0.01,no
Battle: Los Angeles,53,0,58,0.00,no
The Descendants,53,0,76,0.00,no
The Family,53,0,57,0.00,no
The Secret Life of Walter Mitty,53,0,62,0.00,no
Trainwreck,53,1,62,0.02,no
Don't Breathe,53,1,62,0.02,no
Bridget Jones's Baby,53,1,63,0.02,no
Collateral Beauty,53,1,62,0.02,no
The Lost City of Z,53,0,74,0.00,no
Scary Stories to Tell in the Dark,53,0,61,0.00,no
The Conjuring: The Devil Made Me Do It,53,2,59,0.03,no
Snake Eyes: G.I. Joe Origins,53,2,58,0.03,no
The Black Phone,53,1,65,0.02,no
Bullet Train,53,1,73,0.01,no
Transformers: Rise of the Beasts,53,2,66,0.03,no
The Wild Robot,53,1,65,0.02,no
Mufasa: The Lion King,53,4,63,0.06,no
The Amateur,53,2,59,0.03,no
A Nightmare on Elm Street,54,1,67,0.01,no
Water for Elephants,54,0,62,0.00,no
Mr. Popper's Penguins,54,0,60,0.00,no
The Host,54,1,60,0.02,no
Insidious: Chapter 2,54,1,57,0.02,no
Pompeii,54,0,61,0.00,no
Office Christmas Party,54,0,61,0.00,no
Baywatch,54,2,58,0.03,no
Wonder,54,0,62,0.00,no
Darkest Hour,54,0,75,0.00,no
Downsizing,54,0,71,0.00,no
The Post,54,0,69,0.00,no
The Equalizer 2,54,2,58,0.03,no
The Spy Who Dumped Me,54,1,59,0.02,no
Brightburn,54,1,56,0.02,no
The Hustle,54,2,57,0.04,no
Rocketman,54,1,67,0.01,no
The Suicide Squad,54,2,62,0.03,no
Last Night in Soho,54,1,79,0.01,no
Indiana Jones and the Dial of Destiny,54,1,63,0.02,no
Despicable Me 4,54,1,60,0.02,no
Sinners,54,2,72,0.03,no
The Life of Chuck,54,0,61,0.00,no
The Fantastic 4: First Steps,54,2,62,0.03,no
"10,000 BC",55,1,70,0.01,no
The X Files: I Want to Believe,55,0,61,0.00,no
Scream 4,55,0,62,0.00,no
Wrath of the Titans,55,0,60,0.00,no
12 Years a Slave,55,1,80,0.01,no
Her,55,0,77,0.00,no
Pitch Perfect 2,55,1,61,0.02,no
Me Before You,55,0,65,0.00,no
The Hitman's Bodyguard,55,3,62,0.05,no
The Foreigner,55,3,63,0.05,no
"Three Billboards Outside Ebbing, Missouri",55,0,106,0.00,no
Sicario: Day of the Soldado,55,0,63,0.00,no
Searching,55,1,77,0.01,no
Pet Sematary,55,0,62,0.00,no
House of Gucci,55,0,68,0.00,no
Ambulance,55,1,64,0.02,no
Strange World,55,4,60,0.07,no
Twisters,55,1,62,0.02,no
Mickey 17,55,4,69,0.06,no
28 Years Later,55,0,58,0.00,no
Sucker Punch,56,0,61,0.00,no
Allegiant,56,0,64,0.00,no
The Girl on the Train,56,0,60,0.00,no
Valerian and the City of a Thousand Planets,56,2,66,0.03,no
American Made,56,0,62,0.00,no
Jigsaw,56,0,62,0.00,no
The Greatest Showman,56,1,62,0.02,no
Pacific Rim: Uprising,56,1,62,0.02,no
Hitman's Wife's Bodyguard,56,3,64,0.05,no
Sing 2,56,2,65,0.03,no
Uncharted,56,1,61,0.02,no
Transformers One,56,1,63,0.02,no
Sonic the Hedgehog 3,56,2,60,0.03,no
Thunderbolts*,56,2,63,0.03,no
Superman,56,2,71,0.03,no
The Mummy: Tomb of the Dragon Emperor,57,1,65,0.02,no
Kick-Ass,57,2,72,0.03,no
G.I. Joe: Retaliation,57,1,69,0.01,no
Need for Speed,57,0,61,0.00,no
Run All Night,57,0,64,0.00,no
Hacksaw Ridge,57,1,68,0.01,no
The Great Wall,57,2,65,0.03,no
The Commuter,57,0,59,0.00,no
Ocean's Eight,57,2,67,0.03,no
Crawl,57,1,59,0.02,no
Angel Has Fallen,57,1,61,0.02,no
Black Widow,57,5,68,0.07,no
West Side Story,57,1,71,0.01,no
Cocaine Bear,57,1,62,0.02,no
Wanted,58,1,68,0.01,no
The Hangover Part II,58,2,64,0.03,no
Rise of the Planet of the Apes,58,0,65,0.00,no
John Carter,58,0,62,0.00,no
Dark Shadows,58,0,61,0.00,no
The Purge,58,4,66,0.06,no
White House Down,58,2,68,0.03,no
Ender's Game,58,1,63,0.02,no
A Monster Calls,58,0,75,0.00,no
Kingsman: The Golden Circle,58,0,66,0.00,no
Glass,58,0,67,0.00,no
Shazam!,58,1,62,0.02,no
Hellboy,58,0,62,0.00,no
The Secret Life of Pets 2,58,0,63,0.00,no
A Quiet Place Part II,58,1,64,0.02,no
Jurassic World Dominion,58,1,70,0.01,no
Nosferatu,58,1,73,0.01,no
Lilo & Stitch,58,2,63,0.03,no
Ballerina,58,1,64,0.02,no
The Incredible Hulk,59,1,68,0.01,no
Green Zone,59,1,69,0.01,no
The Twilight Saga: Eclipse,59,1,71,0.01,no
Southpaw,59,0,66,0.00,no
Trolls,59,1,65,0.02,no
Patriots Day,59,1,69,0.01,no
Despicable Me 3,59,1,63,0.02,no
Atomic Blonde,59,3,67,0.04,no
Geostorm,59,0,62,0.00,no
Solo: A Star Wars Story,59,0,62,0.00,no
Skyscraper,59,1,60,0.02,no
Mamma Mia! Here We Go Again,59,1,67,0.01,no
Dumbo,59,0,67,0.00,no
Yesterday,59,0,72,0.00,no
Ghostbusters: Afterlife,59,2,71,0.03,no
Nope,59,2,76,0.03,no
Halloween Ends,59,2,70,0.03,no
Beetlejuice Beetlejuice,59,1,68,0.01,no
Ne Zha 2,59,1,65,0.02,no
Prince of Persia: The Sands of Time,60,0,72,0.00,no
Cloudy with a Chance of Meatballs 2,60,0,64,0.00,no
Insidious: Chapter 3,60,0,63,0.00,no
The Conjuring 2,60,0,69,0.00,no
The Shallows,60,1,66,0.02,no
The Magnificent Seven,60,0,67,0.00,no
King Arthur: Legend of the Sword,60,2,68,0.03,no
Blade Runner 2049,60,1,81,0.01,no
Jumanji: Welcome to the Jungle,60,2,75,0.03,no
All the Money in the World,60,1,66,0.02,no
Red Sparrow,60,2,67,0.03,no
Ready Player One,60,2,78,0.03,no
Us,60,1,62,0.02,no
Cruella,60,5,71,0.07,no
