title,id,vote_average,vote_count,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path
Dumbo,329996,6.589,4448,43551,353284621,112,170000000,tt3861390,en,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",26.7774,Soar to new heights.,"Family, Fantasy, Adventure","Tim Burton Productions, Walt Disney Pictures, Infinite Detective, Secret Machine Entertainment",United States of America,English,"Joan Southgate, Michael ""Mikey"" Lewis, Stuart Whelan, Roshan Seth, Chirame Shapra, Julian Kershaw, Deobia Oparei, Linda Gray, Hugh O'Brien, Richard James-Clarke, Clive Brunt, Andres Austin Bennett, Lucy DeVito, Matt Truman, Venla Shalin, Joplin, Heather Rome, Eva Green, Colin Farrell, Rob Heanley, Rashid Shadat, Jason Shillingford, Paul Riddell, Victor Pietraru, Richard Garaghty, Jonathan Clifford, Lillia Langley, Michael Barron, Zee Asha, Lars Eidinger, Matthew Castle, Harry Taylor, Tim Southgate, Benjamin French, Trevor Bennett, Anthony Rhodes, Finley Hobbins, Bret Jones, Angela Ashton, Victoria Coburn, Peter Brookes, Michael Buffer, Obie Matthew, Jorge Espadas, Charlotte Worwood, Zak Holland, Douglas Reith, Nigel Eaton, Richard Price, Callum Forman, Marc Esse, Greg Canestrari, Ian Porter, Zolzaya Batmunkh, Sharon Rooney, Georgie-May Tearle, Stuart Daly, Steve Healey, Frank Bourke, Matthew Cox, Ryan Hannaford, George Gjiggy Francis, Ken Byrd, Max Gill, Chris Rogers, Alan Arkin, Virginia Coronado, Ian Harrod, Sarah Sayuri Leung, Pierre Bergman, Arabella Neale, Sandy Martin, Joseph Macnab, Ariunchimeg Enkhsaikhan, Philip Rosch, Philips Nortey, Ragevan Vasan, Vincent Andriano, Nigel Lowe, Beth Willetts, Bernardo Santos, Tom Seekings, Phil Zimmerman, Matthew David McCarthy, Mehari Tesfamarian, Jo Osmond, Craig Thomas Lambert, Richard Leeming, Ethan Keaton, Daniel Gonçalves, Eleanor Ham, Emily Tebbutt, Nina Mangold, Scott Haney, Edd Osmond, Jewels Good, Desmond Frey, Will Rowlands, Rita McDonald Damper, Jessica Barker-Wren, Iran Singh, Christian Wolf-La'Moy, Chris Ecob, Bern Collaço, Josef Davies, Otgonchimeg Chuluunzorig, Kamil Lemieszewski, Nataliia Shadrina, Serhii Shadrin, Anthony Fraser, Ben Crowe, Amerjit Deu, Manj Gill, Jackson Kai, Simon Connolly, Carol Been, Michael Keaton, Tom Dab, Mark Reader, Danny DeVito, Zenaida Alcalde, Stephen Samson, Liam Bewley, Nico Parker, Jaymes Sygrove, Alice Bonifacio, Mark Shrimpton, Ndongo Faye, Leah Powell, Keith Lomas, David Thomas Coulter, Marjo Nantel, Binyam Tesfamarian, Nick Bartlett, Jessie Vinning, Zelda Rosset Colon, Peter Trevor, Jana Posna, Anatoli Akerman, Lampros Kalfuntzos, Joseph Gatt, Rosie Akerman, Jemma Ellison, Charlie McGonagle, Erick Hayden, Melanie Gibson, Tom Gaskin, Paddy Waters, Oldokh Ganbold, Miguel Muñoz Segura",Tim Burton,Ben Davis,"Ehren Kruger, Harold Pearl, Helen Aberson","Tim Burton, Ehren Kruger, Katterli Frauenfelder, Justin Springer, Derek Frey, Nigel Gostelow",Danny Elfman,6.2,87155,/qgibOIN9RDHiPdimw7Gc7YcY960.jpg
Dune,438631,7.777,14092,44454,407573628,155,165000000,tt1160419,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",15.9792,It begins.,"Science Fiction, Adventure",Legendary Pictures,United States of America,"普通话, English","Benjamin Dilloway, Ferenc Iván Szabó, Joelle, Zendaya, Dave Bautista, Ellen Dubin, Oscar Isaac, Charlotte Rampling, Roger Yuan, Benjamin Clémentine, Charlie Rawes, Elmi Rashid Elmi, Jason Momoa, Fehinti Balogun, Paul Bullion, János Timkó, Babs Olusanmokun, Javier Bardem, Richard Carter, Stephen McKinley Henderson, Marianne Faithfull, Michael Nardone, Duncan Pow, Balázs Megyeri, Rebecca Ferguson, Oliver Ryan, Elemér Szatmári, István Áldott, Gloria Obianyo, Stellan Skarsgård, Milena Sidorova, Jean Gilpin, Dora Kápolnai-Schvab, Chang Chen, Timothée Chalamet, Stephen Collins, Károly Baksai, David Dastmalchian, Golda Rosheuvel, Jimmy Walker, Seun Shote, Neil Bell, Josh Brolin, Peter Sztojanov, Jr., Souad Faress, Tachia Newall, Björn Freiberg, Sharon Duncan-Brewster",Denis Villeneuve,Greig Fraser,"Denis Villeneuve, Jon Spaihts, Eric Roth, Frank Herbert","Herb Gains, Joseph M. Caracciolo Jr., Kim Herbert, John Harrison, Mary Parent, Richard P. Rubinstein, Brian Herbert, Byron Merritt, Cale Boyter, Jon Spaihts, Denis Villeneuve, Tanya Lapointe, Thomas Tull, Joshua Grode",Hans Zimmer,8,987090,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg
Dungeons & Dragons: Honor Among Thieves,493529,7.33,4206,45008,208200000,134,151000000,tt2906216,en,Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",9.0975,No experience necessary.,"Adventure, Fantasy, Comedy","Entertainment One, Paramount Pictures","Canada, United States of America",English,"Daniel Campbell, Bryan Larkin, Rylan Jackson, Clayton Grover, Appy Pratt, Sophia Lillis, Sarah Amankwah, Seamus O'Hara, Kim Chapman, Moe Sasegbon, Chris Pine, Daisy Head, Luke Bennett, Edd Osmond, Ian Hanmore, Richie Wilson, Michael Redmond, Jeanne Nicole Ní Áinle, Will Irvine, Adrian Christopher, Dan Poole, Richard Hall, Fionnlagh Allan, Natali Servat, David Durham, Richard Croxford, Hayley-Marie Axe, R.F. Daley, Niamh McCormack, Kyle Hixon, Jason Wong, Emer McDaid, Bridie Mayfield, Kenneth Collard, Justice Ritchie, Trevor Kaneswaran, Matthew Waterson, David Sobolov, Simon Ramshaw, Georgia Landers, Neil Stoddart, Bradley Cooper, Adam Behan, Edgar Abram, Spencer Wilding, Hugh Grant, Claude Starling, John Francis Daley, Paul Lancaster, Philip Brodie, Sophia Nell Huntley, Sharon Blynn, Rylee Neilly-Large, David Stanbra, Justice Smith, San Shella, Mark Epstein, Colin Carnegie, Tom Morello, Jeff Bottoms, Tom Mason Duffy, Paul Bazely, Barry O'Connor, Regé-Jean Page, Avril Murphy, Anton Simpson-Tidy, Chloe Coleman, Harriet Barrow, Jude Hill, Nicholas Blane, Michelle Rodriguez, Darren Kent","Jonathan Goldstein, John Francis Daley",Barry Peterson,"Jonathan Goldstein, Chris McKay, Michael Gilio, John Francis Daley","Brian Goldner, Jonathan Goldstein, John Francis Daley, Jeremy Latcham, Chris Pine, Greg Mooradian, Zev Foreman, Denis L. Stewart, Nick Meyer",Lorne Balfe,7.2,267572,/v7UF7ypAqjsFZFdjksjQ7IUpXdn.jpg
Dunki,960876,6.2,84,45281,501000000,159,239000000,tt15428134,hi,डंकी,"Four friends from a sleepy little village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier alights from a train one day, and their lives change. He gives them a soldier's promise: He will take them to the land of their dreams. What follows is a hilarious and heartwarming tale of a perilous journey through the desert and the sea, but most crucially through the hinterlands of their mind.",2.4508,A Soldier's journey to keep a promise,"Adventure, Comedy, Drama","Red Chillies Entertainment, Rajkumar Hirani Films, Jio Studios",India,"हिन्दी, ਪੰਜਾਬੀ","Vikram Kochhar, Jatinder Kaur, Ketan Desai, Taapsee Pannu, Sahil Mukhi, Laszlo Szantai, Vikram Singh Ranjha, Gary Tantony, Vicky Kaushal, Suhail Zargar, Fawzi Suliman, Faiz Mohd Khan, Asein Uwaifo, Anita Bakay, Salem Kali, Jihan Jeetendra Hodar, Hella Stichlmair, Deven Bhojani, Boman Irani, Emily Swain, Declan Lambert, Aakriti Pandey, Ayushi Singh, Boame Solomon Godson, Ajit Singh Banga, Manoj Kant, Mohd Abo Almajd, Davinder Kaur, Ranjan Saw, Ahmad Alsadi, Mushari Alatawi, Gecsei Gergely, Ajay Kumar, Khurshed Lawyer, Jaanvi Sanghwan, Haifa Quali, Melika Sarmadi, Adel Hmoud, Rohitashv Gour, Sunil Uppal, Csaba Szabolcsi, Amro Hussain, Daniel Short, Mallika Dang, Rajesh Mishra, Lajos Orgovan, Gabor Masznyik, Pal Mellar, Sunny Tarar, Adhikary Teresa Borna, Prabhakar Pandey, Ananya Sharma, Komal Sachdeva, Palmer Johnny, Varun Kulkarni, Karan Khanna, Jay Miller, Atilla Arpa, Vinod Goswami, Sandeep Pathare, Karim Saidi, Boldiszar Kolos, Kerill Kelly, Vishnu Saxena, Sofunwa Olaniyi, Fursan Alsafadi, Jitender Hooda, Sunil Prajapati, Sakpal Singh Banga, Lucy Jamieson, Mahabir Bhullar, Tibor Borde, Jeremy Wheeler, Sapna Sand, Umesh Singh, Sanjiv Kishinchandani, Sumit Yadav, Sean Sharma, Shivam Parashar, Dushyanth Pandir, Karam Singh Bhoai, Majed Alkabi, Csaba Patinszki, Amardeep Jha, Salman Zaidi, Aliraza Namdar, Vibhuti Upadhyay, Ashish Sejwal, Gaurav Govind, Imre Csók, Surinderpal Singh, Himanshu Maggo, Riz Mohammed, Rajendra Ojha, David Nagy, Dorottya Nanasi, Manish Kumar, Anil Grover, Naveen Kalirawana, Richard Klein, Vivek Sharma, Abdulrehman Ahlrabi, Shahid Latief, Khalid Almaki, Swati Singh, Arun Bali, Keval Ramesh Bhingare, Gurpreet Ghuggi, Jyoti Subhash, Harpal Singh Abott, Zoltan Barta, Suparna Marwah, Jagannath Seth, Samrat Soni, Peter Kulcsar, Kristof Lakatos, Ehsan Ula, Tamas Miklosi, Vijayant Kohli, György Czutor, Harpal Singh Bunty, Rahul Khanna, Shah Rukh Khan, Chris Kaye, Priya Sindher, Gábor Molnár, Kiranpal Singh Dhody, Emmad Samman, Piyush Raina, Diwanshu Gambhir, Nikhil Ratnaparkhi, Geza Demeter, Vishnu Kaushal, Ryan Cretney",Rajkumar Hirani,"Manush Nandan, C.K. Muraleedharan, Amit Roy","Rajkumar Hirani, Javed Akhtar, Abhijat Joshi, Karan Narvekar, Irshad Kamil, IP Singh, Varun Grover, Kanika Dhillon, Amitabh Bhattacharya, Swanand Kirkire, Kumaar","Rajkumar Hirani, Jyoti Deshpande, Gauri Khan, Shah Rukh Khan, Sanjiv Kishinchandani","Shekhar Ravjiani, Aman Pant",6.5,84228,/kPRb1mbVHGop0egQ7153y0lhzGL.jpg
Dunkirk,374720,7.4,17096,42935,527000000,107,150000000,tt5013056,en,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",6.9421,"When 400,000 men couldn't get home, home came for them.","War, Action, Drama","Warner Bros. Pictures, Syncopy, Dombey Street Productions","United Kingdom, United States of America","English, Français, Deutsch","Bobby Lockwood, Adam Long, Jochum ten Haaf, Michael Caine, Matthew Marsh, Aneurin Barnard, Michael Fox, Eric Richard, Kevin Guthrie, Fionn Whitehead, Charley Palmer Rothwell, Kim Hartman, Calam Lynch, Mikey Collins, Harry Collett, Miranda Nolan, Tom Glynn-Carney, Dean Ridge, Will Attenborough, Johnny Otto, Tom Nolan, John Nolan, James Bloor, Elliott Tittensor, Jack Lowden, Damien Bonnard, Bill Milner, Johnny Gibbon, Richard Sanderson, Jack Riddiford, Cillian Murphy, Callum Blake, Jack Cutmore-Scott, Lee Armstrong, Mark Rylance, Brett Lorenzini, Brian Vernel, Billy Howle, James D'Arcy, Constantin Balsan, Nick Howden-Steenstra, Bradley Hall, Tom Hardy, Harry Richardson, Michel Biel, Kenneth Branagh, Luke Thompson, Barry Keoghan, Tom Gill, Harry Styles",Christopher Nolan,Hoyte van Hoytema,Christopher Nolan,"Christopher Nolan, Greg Silverman, Emma Thomas, Jake Myers",Hans Zimmer,7.8,789879,/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg
Dylan Dog: Dead of Night,43935,4.73,511,40618,4634062,107,20000000,tt1013860,en,Dylan Dog: Dead of Night,"Supernatural private eye, Dylan Dog, seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket and blue jeans.",0.8429,No pulse? No problem,"Action, Comedy, Horror, Mystery, Science Fiction, Thriller, Fantasy","Hyde Park Entertainment, platinum studios, Long Distance Films",United States of America,"English, Türkçe","Courtney James Clark, Kurt Angle, Gabrielle Chapin, James Hébert, Ryan Turek, Marco St. John, Kimberly Whalen, Taye Diggs, Courtney Shay Young, Sam Huntington, Anita Briem, Peter Stormare, Brandon Routh, Randal Reeder, Andrew Sensenig",Kevin Munroe,Geoffrey Hall,"Thomas Dean Donnelly, Tiziano Sclavi, Joshua Oppenheimer",Gilbert Adler,Klaus Badelt,5.1,16029,/nZdYn5IktnGVg7pRA2JHD1rdZDH.jpg
EXIT,572164,7.6,275,43677,69501772,103,10892000,tt10648440,ko,엑시트,"At his mother's 70th birthday party, Yong-nam runs into Eui-joo, who rejected him in college. When the city is engulfed in toxic gas from a terrorist attack, the two must find a way to escape using all the techniques they learned in their college rock climbing club.",4.5745,There's no way out.,"Action, Comedy","Filmmaker R&K, filmK, CJ Entertainment",South Korea,한국어/조선말,"Kang Ki-young, Kang Deok-joong, Kim Gyeong-ryong, Kim Kang-hoon, Jung Ji-woo, Lee Dong-hwi, Joo Bo-bi, Shin Se-hwi, Kim Byeong-soon, Kim Jong-goo, Park Seong-il, Cho Jung-seok, Park In-hwan, Ban Hye-ra, Lee Bong-ryeon, Bae Hae-seon, Kim Kang-hyun, Yoo Su-bin, Goh Doo-shim, Oh Hee-jun, Hwang Hyo-eun, Yoona, Kim Ji-young, Jeong Min-sung, Kwon Eun-bin, Lee Jeong-in, Lee Chan-yu, Bae Yu-ram",Lee Sang-geun,Kim Il-yeon,Lee Sang-geun,"Cho Sung-min, Lim Myeong-gyun, Baek Hyun-ik, Kang Hye-jung, Ryoo Seung-wan, Cho Young-ki",Lee Eun-ju,7,8680,/zf16eomhCB13cwMb4iFEbBT0Tsr.jpg
Early Man,387592,6.1,838,43126,53431158,89,50000000,tt4701724,en,Early Man,"Dug, along with his sidekick Hognob, unite a cavemen tribe to save their hidden valley from being spoiled and, all together as a team, to face the menace of a mysterious and mighty enemy, on the turf of an ancient and sacred sport.",5.6349,Bronze vs. stone - clash of the ages.,"Family, Comedy, Animation, Adventure","StudioCanal, Aardman","United Kingdom, France",English,"Richard Ayoade, Tim Hands, Antony Bayman, Adrian Rhodes, Kayvan Novak, Tom Doggart, Rich Webber, Eddie Redmayne, Timothy Spall, Victoria Stevens, Johnny Vegas, Mark Williams, Maisie Williams, Nick Park, Rob Brydon, Simon Greenall, Selina Griffiths, Gina Yashere, Richard Beek, Miriam Margolyes, Tom Hiddleston, Ben Whitehead, Luke Walton",Nick Park,"Paul Smith, Charles Copping, Dave Alex Riddett","Nick Park, Mark Burton, James Higginson","Richard Beek, Ben Roberts, Nick Park, Carla Shelley, Natascha Wharton, Alicia Gold, Danny Perkins, David Sproxton, Didier Lupfer, Peter Lord, Ron Halpern","Tom Howe, Harry Gregson-Williams",6.1,25062,/5iW2rntwLZoGlFCYYy8TjHyblbw.jpg
Earth to Echo,238603,5.9,597,41804,45300000,89,13000000,tt2183034,en,Earth to Echo,"After a construction project begins digging in their neighbourhood, best friends Tuck, Munch and Alex inexplicably begin to receive strange, encoded messages on their cell phones. Convinced something bigger is going on, they go to their parents and the authorities. The three embark on a secret adventure to crack the code and follow it to its source, and discover a mysterious being from another world who desperately needs their help. The journey that follows will change all their lives forever.",3.1264,An adventure as big as the universe.,"Family, Adventure, Science Fiction",Panay Films,United States of America,English,"Frank Lloyd, Mary Pat Gleason, Teo Halm, Jason Gray-Stanford, Tiffany Espensen, Ella Wahlestedt, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Algee Smith, Sean Carroll, Myk Watford, Valerie Wildman, Chris Wylde, Sara Arrington, Stro, Cassius M. Willis, Drake Kemper, Reese Hartwig, Marilyn Giacomazzi, Brooke Dillman, Michael Lee Merrins, Arthur Darbinyan, Peter MacKenzie, Roger Hewlett, Israel Broussard",Dave Green,Maxime Alexandre,"Henry Gayden, Andrew Panay","Andrew Panay, Ryan Kavanaugh",Joseph Trapanese,5.7,20298,/yiNPza51nLvVTWTB9q4ifzfUlml.jpg
Easter Sunday,824281,5.7,44,44777,13071438,96,17000000,tt11952606,en,Easter Sunday,"Comedian and actor Joe Valencia returns home for an Easter celebration with his riotous, bickering, eating, drinking, laughing, loving family, in this love letter to the Filipino-American community.",2.6494,Home is where the crazy is.,Comedy,"DreamWorks Pictures, Rideback","India, United States of America","English, ","Brandon Wardell, Gavin Matts, Elena Juatco, Carly Pope, Michael Sharkey, Brad Grunberg, Tia Carrere, Jo Koy, Michael Jonsson, Xavier de Guzman, Melody Butiu, Asif Ali, Joey Guila, Enid-Raye Adams, Arkie Kandola, Lou Diamond Phillips, Sherry Mandujano, Ruth Bidner, Tiffany Haddish, Jay Chandrasekhar, Katherine Skelton, Jimmy O. Yang, Melanie Rees, Eva Noblezada, Rodney Perry, Rodney To, Niña Mendoza, Eugene Cordero, Michael Weaver, Lydia Gaston, Dustin Ybarra",Jay Chandrasekhar,Joe Collins,"Kate Angelo, Ken Cheng","Nick Reynolds, Dan Lin, Seth William Meier, Ken Cheng, Jimmy O. Yang, Joe Meloche, Jessica Gao, Jo Koy, Jonathan Eirich, Holly Bario",Dan the Automator,5.3,3141,/u7HNcXZDsf2fhWdgQhLZnSBnc1g.jpg
Eddington,648878,6.502,447,45854,13570360,149,25000000,tt31176520,en,Eddington,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",10.9987,Hindsight is 2020.,"Western, Comedy, Crime","A24, Square Peg, 828 Productions, IPR.VC, Access Entertainment","United States of America, Finland",English,"Emma Stone, William Belleau, Eddie Garcia, Thom Rivera, Mack MacReady, Deirdre O'Connell, David Midthunder, Austin Butler, Emery Jean-Luc Barrera, Blane Aranyosi, Rainer King, Manny Rubio, Matt Gomez Hidaka, Landall Goolsby, Diane Villegas, David Pinter, Sterlin English, William Sterchi, Gabe Kessler, Kaleb Naquin, Ari Aster, Mickey Bond, Gigi Bella, Keith Jardine, Kristin K. Berg, Jason Potter, Daniel Clowes, James Woods, Guia Peel, Christine Hughes, King Orba, Joaquin Phoenix, Erika Clowes, Dan Davidson, Cameron Mann, Auburn Ashley, Ophelia Benally, Robyn Casper, Vic Browder, Pedro Pascal, Amélie Hoeferle, James Cady, Marcela Salmon, Abby Townsend, Rachel de la Torre, Giancarlo Beltran, Elise Falanga, Jean Dumont, Sam Quinn, Juwan Lakota, Steven Foldy II, Bill Capskas, Amadeo Arzola, Micheal Ward, Bendicion Garcia, Robyn Reede, Justice McLean-Davis, Luke Grimes, Clifton Collins Jr.",Ari Aster,Darius Khondji,Ari Aster,"Todd Lundbohm, Tyler Campellone, Len Blavatnik, Lars Knudsen, Ann Ruark, Ari Aster, Harrison Huffman, Andrea Scarso, Alejandro de Leon, Robert Dean, Timo Argillander, Will Tracy, Danny Cohen","Daniel Pemberton, Bobby Krlic",6.6,34814,/4GIqZUgPZ146BhibsPHMHef2nXX.jpg
Eden,1042834,6.736,371,45750,1907486,129,50000000,tt23149780,en,Eden,"A group of disillusioned outsiders abandon modern society in search of a new beginning. Settling on a remote, uninhabited island, their utopian dream quickly unravels as they discover that the greatest threat isn’t the brutal climate or deadly wildlife, but each other.",35.1606,Inspired by the accounts of those who survived.,"Thriller, Drama","Imagine Entertainment, AGC Studios, Library Pictures International",United States of America,English,"Felix Kammerer, Jonathan Tittel, Ana de Armas, Daniel Brühl, Thiago Moraes, Toby Wallace, Paul Gleeson, Tim Ross, Sydney Sweeney, Antonio Alvarez, Benjamín Gorroño, Nicholas Denton, Jude Law, Richard Roxburgh, Ignacio Gasparini, Vanessa Kirby",Ron Howard,Mathias Herndl,"Noah Pink, Ron Howard","Miguel Palos, Matt Murphie, Stuart Ford, David Taghioff, Zach Garrett, Brian Grazer, Namit Malhotra, Craig McMahon, Karen Lunder, Patrick Newall, Noah Pink, Masha Maganova, Mathias Herndl, Ron Howard",Hans Zimmer,6.5,24924,/jbFEESMVbpJU8IjZBjiWGJdEsxR.jpg
Edge of Tomorrow,137113,7.632,14547,41786,370541256,114,178000000,tt1631867,en,Edge of Tomorrow,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",10.5579,Live. Die. Repeat.,"Action, Science Fiction","RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",United States of America,English,"Mairead McKinley, Terence Maynard, Charlotte Riley, Ronan Summers, Bentley Kalu, Tommy Campbell, JD Roth-Round, Marianne Jean-Baptiste, Franz Drameh, Stuart Matthews, Lamin Tamba, Aaron Romano, Martin Hyder, Rachel Handshaw, Kick Gurry, Erin Burnett, Johnny Otto, Harry Landis, Danny Kushmaro, Martin McDougall, David Kaye, Andrew Neil, Brendan Gleeson, Emily Blunt, Bill Paxton, Masayoshi Haneda, Philip Harvey, Noah Taylor, Madeleine Mantock, Usman Akram, Tom Cruise, Lara Pulver, John Dutton, Dragomir Mrsic, Assly Zandry, Anna Botting, Sebastian Blunt, Tony Way, Jonas Armstrong, Jane Hill, Macee Binns, Beth Goddard",Doug Liman,Dion Beebe,"Jez Butterworth, John-Henry Butterworth, Christopher McQuarrie, Hiroshi Sakurazaka","Hidemi Fukuhara, Doug Liman, Jason Hoffs, Erwin Stoff, Steven Mnuchin, Bruce Berman, Jeffrey Silver, Tom Lassally, Gregory Jacobs, Dave Bartis, Joby Harold",Christophe Beck,7.9,789327,/nBM9MMa2WCwvMG4IJ3eiGUdbPe6.jpg
Edwin Boyd: Citizen Gangster,92493,5.5,58,40796,625,105,5000000,tt1709654,en,Edwin Boyd: Citizen Gangster,"Based on a real WWII vet and family man turned bank robber. Disillusioned by his post war circumstances, Eddie Boyd is torn between the need to provide for his young family and an unfulfilled dream to head to Hollywood to become a star. He discovers a way to do both, robbing banks Hollywood style, but his dream leads him down a path of danger and tragedy.",0.8888,Gangster. Media darling. Model citizen.,"Crime, Drama, History","IFC FIlms, Myriad Pictures","Canada, Mexico","English, Español, Polski, Magyar","Melanie Scrofano, Marty Adams, William Mapother, Troy Boudreau, Marianne McIsaac, Charlotte Sullivan, Scott Speedman, Mark Fisher, Joseph Cross, Brigitte Kingsley, Robert Bockstael, Steven McCarthy, Greg Ellwand, Christian Martyn, Joris Jarsky, Sandra Forsell, Brian Cox, Craig Snoyer, Kevin Durand, Kelly Reilly, Jim Calarco, Tara Nicodemo, Daniel Kash, Brendan Fletcher, Cynthia Galant",Nathan Morlando,Steve Cosens,Nathan Morlando,"Allison Black, Daniel Iron, Kirk D'Amico",Max Richter,6.1,4698,/hTY0Wst8Gwm8tfVjw4J24i0L28q.jpg
Eiffel,655082,6.3,701,44476,13000000,108,26000000,tt10366514,fr,Eiffel,"The French government is asking Gustave Eiffel to design something spectacular for the 1889 Paris World Fair, but he simply wants to design the subway—until he crosses paths with a mysterious woman from his past.",2.815,You will never look at it the same way again.,"Romance, Drama","Pathé, VVZ Production, Constantin Film, SCOPE Pictures, M6 Films, M6","Belgium, France, Germany",Français,"Stéphane Page, Armande Boulanger, Matthieu Piriou, Clémence Boué, Hervé Masquelier, Josselin Baillarguet, Romain Duris, Aurélien Luzeux, Philippe Richardin, Benoît de Gaulejac, Joseph Rezwin, Philippe Saïd, Jérémie Petrus, Alexandre Steiger, Julien Sarazin, Emma Mackey, Michèle Clément, Juliette Blanche, Damien Zanoly, Pierre Le Baleur, Dominique Pozzetto, Frédéric Merlo, Philippe Hérisson, Jérémy Lopez, Aurélia Frachon, Pierre Deladonchamps, Sophie Fougère, Andranic Manet, David Olivier Fischer",Martin Bourboulon,Matias Boucard,"Martin Brossollet, Caroline Bongrand, Martin Bourboulon, Tatiana De Rosnay, Natalie Carter, Thomas Bidegain","Jérôme Seydoux, Vanessa van Zuylen, Marie de Cenival, Geneviève Lemal, Ardavan Safaee, Martin Moszkowicz",Alexandre Desplat,6.2,8760,/mrHx1eQpG7d0Qz3PUkt1ceEP6YK.jpg
Eighth Grade,489925,7.162,1576,43119,13539709,94,2000000,tt7014006,en,Eighth Grade,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school — the end of her thus far disastrous eighth grade year — before she begins high school.,2.4914,Based on the most awkward year of your life,"Comedy, Drama","A24, Scott Rudin Productions",United States of America,English,"Fred Hechinger, Dylan Vonderhorst, V. Rocco Russell, Brenna Parker, Tristan Wheeler, J. Tucker Smith, Tiffany Grossfeld, Molly Forman, Louisa Rose Guarasci, Missy Yager, Kevin R. Free, Deborah Unger, Thomas J O'Reilly, Jake Ryan, Emily Robinson, Luke Mulligan, Josh Hamilton, Daniel Zolghadri, Greg Crowe, Trinity Goscinsky-Lynch, Vivek Nickolas Mathews, Kylie Seaman, Frank Deal, William Koo, Blair Seaman, Andrew Geher, Luke Prael, Catherine Oliviere, Keith Maurice Davis, Faith Kelly, Elsie Fisher, Olivia Galligan, Shacha Temirov, Kendall Seaman, Nina Victoria Mathews, Castor Feinberg, Jalesia Martinez, William Alexander Wunsch, Nora Mullins, Phoebe Amirault, Natalie Carter, Gerald Jones, Imani Lewis, Marguerite Stimpson, Veronica Bikowicz, Kaileen Quinones",Bo Burnham,Andrew Wehde,Bo Burnham,"Christopher Storer, Lila Yacoub, Scott Rudin, Jamin O'Brien, Eli Bush",Anna Meredith,7.3,85820,/xTa9cLhGHfQ7084UvoPQ2bBXKqd.jpg
